"Locality","Year","TotalPoundsDistributed"
"Waynesboro City",2019,209021.48
"Waynesboro City",2020,237543.84
"Waynesboro City",2021,96153.12
"Westmoreland County",2019,144316
"Westmoreland County",2020,88012.1
"Westmoreland County",2021,33758
"Williamsburg City",2019,610238
"Williamsburg City",2020,411113
"Winchester City",2019,1650315.57
"Winchester City",2020,1933207.45
"Winchester City",2021,734150.14
"Wise County",2019,565972.47
"Wise County",2020,576578.42
"Wise County",2021,400224.28
"Wythe County",2019,256434.29
"Wythe County",2020,308196.67
"Wythe County",2021,166407.74
"York County",2019,680658
"York County",2020,363914
